invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,sales,cogs,profit,inventory_days,movement_type,profit_margin,overstock_alert
I219334,C144371,Female,45,Shoes,4,2400.68,Credit Card,23-03-2022,Kanyon,9602.72,6721.9039999999995,2880.816,24,Fast Moving,30.0,Healthy
I162719,C402433,Male,53,Clothing,5,1500.4,Credit Card,11-12-2021,Emaar Square Mall,7502.0,5251.4,2250.6000000000004,12,Fast Moving,30.000000000000004,Healthy
I237375,C297425,Female,50,Books,1,15.15,Cash,29-12-2022,Istinye Park,15.15,10.605,4.545,11,Fast Moving,30.0,Healthy
I289611,C222906,Female,45,Clothing,3,900.24,Debit Card,08-03-2023,Cevahir AVM,2700.7200000000003,1890.5040000000001,810.2160000000001,71,Fast Moving,30.000000000000004,Healthy
I217650,C236397,Female,47,Food & Beverage,3,15.69,Debit Card,10-02-2021,Forum Istanbul,47.07,32.949,14.121000000000002,21,Fast Moving,30.000000000000004,Healthy
I214129,C309079,Female,36,Clothing,1,300.08,Debit Card,10-05-2021,Metrocity,300.08,210.05599999999998,90.024,37,Fast Moving,30.000000000000004,Healthy
I300799,C116633,Female,61,Food & Beverage,3,15.69,Cash,06-03-2022,Metropol AVM,47.07,32.949,14.121000000000002,52,Fast Moving,30.000000000000004,Healthy
I163771,C259606,Female,46,Toys,4,143.36,Credit Card,29-03-2021,Mall of Istanbul,573.44,401.408,172.03200000000004,80,Slow Moving,30.000000000000004,Healthy
I252528,C333065,Male,47,Technology,5,5250.0,Debit Card,04-10-2022,Cevahir AVM,26250.0,18375.0,7875.0,63,Fast Moving,30.0,Healthy
I147387,C211494,Female,38,Clothing,5,1500.4,Cash,04-11-2021,Mall of Istanbul,7502.0,5251.4,2250.6000000000004,119,Slow Moving,30.000000000000004,Healthy
I186255,C302831,Female,41,Clothing,1,300.08,Credit Card,08-11-2022,Kanyon,300.08,210.05599999999998,90.024,90,Slow Moving,30.000000000000004,Healthy
I308341,C282397,Male,29,Clothing,4,1200.32,Cash,17-05-2021,Istinye Park,4801.28,3360.8959999999997,1440.384,26,Fast Moving,30.000000000000004,Healthy
I177664,C233697,Female,58,Cosmetics,3,121.98,Credit Card,16-06-2022,Kanyon,365.94,256.15799999999996,109.78200000000004,114,Slow Moving,30.00000000000001,Healthy
I278519,C129976,Male,69,Technology,3,3150.0,Debit Card,24-09-2022,Cevahir AVM,9450.0,6615.0,2835.0,34,Fast Moving,30.0,Healthy
I160636,C812053,Female,53,Cosmetics,4,162.64,Cash,04-04-2022,Metropol AVM,650.56,455.39199999999994,195.168,42,Fast Moving,30.000000000000004,Healthy
I306136,C324783,Male,26,Food & Beverage,1,5.23,Cash,18-10-2022,Metrocity,5.23,3.661,1.5690000000000004,106,Slow Moving,30.000000000000004,Healthy
I240224,C281502,Male,53,Food & Beverage,1,5.23,Cash,16-10-2021,Mall of Istanbul,5.23,3.661,1.5690000000000004,113,Slow Moving,30.000000000000004,Healthy
I227030,C433234,Female,63,Clothing,4,1200.32,Credit Card,17-05-2021,Istinye Park,4801.28,3360.8959999999997,1440.384,55,Fast Moving,30.000000000000004,Healthy
I258204,C167183,Female,54,Clothing,1,300.08,Credit Card,03-02-2023,Emaar Square Mall,300.08,210.05599999999998,90.024,58,Fast Moving,30.000000000000004,Healthy
I231070,C311195,Female,54,Clothing,5,1500.4,Debit Card,15-11-2022,Forum Istanbul,7502.0,5251.4,2250.6000000000004,12,Fast Moving,30.000000000000004,Healthy
I434983,C107399,Male,45,Souvenir,2,23.46,Credit Card,29-07-2021,Istinye Park,46.92,32.844,14.076,31,Fast Moving,30.0,Healthy
I326925,C992967,Female,62,Toys,4,143.36,Credit Card,17-07-2021,Kanyon,573.44,401.408,172.03200000000004,31,Fast Moving,30.000000000000004,Healthy
I183840,C246719,Female,18,Clothing,1,300.08,Credit Card,08-03-2022,Viaport Outlet,300.08,210.05599999999998,90.024,102,Slow Moving,30.000000000000004,Healthy
I533184,C220859,Female,44,Shoes,5,3000.85,Credit Card,22-09-2022,Zorlu Center,15004.25,10502.974999999999,4501.2750000000015,25,Fast Moving,30.00000000000001,Healthy
I735039,C285422,Male,50,Clothing,1,300.08,Cash,01-08-2022,Metropol AVM,300.08,210.05599999999998,90.024,34,Fast Moving,30.000000000000004,Healthy
I319997,C217049,Male,31,Clothing,5,1500.4,Credit Card,03-04-2021,Istinye Park,7502.0,5251.4,2250.6000000000004,101,Slow Moving,30.000000000000004,Healthy
I228150,C141094,Male,62,Clothing,5,1500.4,Cash,21-11-2021,Zorlu Center,7502.0,5251.4,2250.6000000000004,32,Fast Moving,30.000000000000004,Healthy
I215373,C310628,Female,20,Clothing,5,1500.4,Debit Card,17-09-2021,Kanyon,7502.0,5251.4,2250.6000000000004,115,Slow Moving,30.000000000000004,Healthy
I275695,C297711,Female,65,Books,5,75.75,Cash,09-08-2022,Mall of Istanbul,378.75,265.125,113.625,68,Fast Moving,30.0,Healthy
I107255,C211354,Female,63,Souvenir,1,11.73,Cash,08-09-2021,Metrocity,11.73,8.211,3.519,101,Slow Moving,30.0,Healthy
I301538,C281864,Female,57,Food & Beverage,4,20.92,Cash,08-10-2021,Mall of Istanbul,83.68,58.576,25.104000000000006,73,Fast Moving,30.000000000000004,Healthy
I119469,C234177,Female,59,Clothing,1,300.08,Debit Card,03-03-2021,Metropol AVM,300.08,210.05599999999998,90.024,65,Fast Moving,30.000000000000004,Healthy
I678313,C335822,Female,44,Clothing,4,1200.32,Debit Card,26-12-2021,Zorlu Center,4801.28,3360.8959999999997,1440.384,52,Fast Moving,30.000000000000004,Healthy
I264491,C107261,Female,63,Cosmetics,5,203.3,Credit Card,13-02-2023,Metropol AVM,1016.5,711.55,304.95000000000005,23,Fast Moving,30.000000000000004,Healthy
I177957,C653357,Male,65,Clothing,4,1200.32,Cash,04-07-2021,Cevahir AVM,4801.28,3360.8959999999997,1440.384,8,Fast Moving,30.000000000000004,Healthy
I188384,C327084,Female,68,Clothing,1,300.08,Cash,26-01-2021,Istinye Park,300.08,210.05599999999998,90.024,39,Fast Moving,30.000000000000004,Healthy
I527111,C218706,Female,21,Food & Beverage,2,10.46,Debit Card,05-10-2022,Metropol AVM,20.92,14.644,6.276000000000002,68,Fast Moving,30.000000000000004,Healthy
I152252,C321931,Female,33,Books,5,75.75,Credit Card,05-04-2021,Mall of Istanbul,378.75,265.125,113.625,53,Fast Moving,30.0,Healthy
I131076,C403983,Female,23,Souvenir,2,23.46,Cash,27-03-2021,Metrocity,46.92,32.844,14.076,21,Fast Moving,30.0,Healthy
I151031,C137912,Female,49,Souvenir,5,58.65,Cash,21-11-2022,Mall of Istanbul,293.25,205.27499999999998,87.97500000000002,48,Fast Moving,30.00000000000001,Healthy
I638444,C229733,Male,57,Shoes,2,1200.34,Credit Card,21-02-2022,Metropol AVM,2400.68,1680.4759999999999,720.204,96,Slow Moving,30.0,Healthy
I884439,C304835,Female,54,Toys,4,143.36,Credit Card,22-08-2022,Kanyon,573.44,401.408,172.03200000000004,34,Fast Moving,30.000000000000004,Healthy
I381853,C124933,Female,41,Cosmetics,3,121.98,Credit Card,06-12-2022,Emaar Square Mall,365.94,256.15799999999996,109.78200000000004,97,Slow Moving,30.00000000000001,Healthy
I104404,C111115,Female,21,Shoes,3,1800.51,Cash,25-03-2021,Kanyon,5401.53,3781.0709999999995,1620.4590000000003,50,Fast Moving,30.000000000000004,Healthy
I926542,C248988,Female,45,Toys,1,35.84,Debit Card,05-03-2021,Kanyon,35.84,25.088,10.752000000000002,10,Fast Moving,30.000000000000004,Healthy
I263473,C162574,Female,58,Shoes,3,1800.51,Credit Card,02-08-2021,Kanyon,5401.53,3781.0709999999995,1620.4590000000003,103,Slow Moving,30.000000000000004,Healthy
I177317,C331880,Male,53,Food & Beverage,4,20.92,Cash,16-04-2021,Mall of Istanbul,83.68,58.576,25.104000000000006,109,Slow Moving,30.000000000000004,Healthy
I941223,C291911,Female,53,Clothing,5,1500.4,Credit Card,03-02-2023,Emaar Square Mall,7502.0,5251.4,2250.6000000000004,41,Fast Moving,30.000000000000004,Healthy
I323436,C153958,Male,39,Food & Beverage,5,26.15,Debit Card,06-05-2022,Kanyon,130.75,91.52499999999999,39.22500000000001,28,Fast Moving,30.000000000000004,Healthy
I245250,C125209,Female,21,Shoes,1,600.17,Cash,05-02-2022,Mall of Istanbul,600.17,420.11899999999997,180.051,97,Slow Moving,30.0,Healthy
I589196,C320640,Female,51,Toys,1,35.84,Credit Card,01-12-2022,Mall of Istanbul,35.84,25.088,10.752000000000002,117,Slow Moving,30.000000000000004,Healthy
I241028,C803666,Male,50,Clothing,2,600.16,Debit Card,16-12-2021,Emaar Square Mall,1200.32,840.2239999999999,360.096,50,Fast Moving,30.000000000000004,Healthy
I846943,C134691,Female,50,Cosmetics,4,162.64,Cash,06-01-2023,Mall of Istanbul,650.56,455.39199999999994,195.168,57,Fast Moving,30.000000000000004,Healthy
I131492,C729802,Male,61,Food & Beverage,3,15.69,Cash,08-12-2021,Kanyon,47.07,32.949,14.121000000000002,99,Slow Moving,30.000000000000004,Healthy
I252340,C252250,Male,44,Food & Beverage,5,26.15,Credit Card,23-02-2021,Mall of Istanbul,130.75,91.52499999999999,39.22500000000001,103,Slow Moving,30.000000000000004,Healthy
I571614,C208545,Female,31,Souvenir,4,46.92,Debit Card,07-01-2022,Istinye Park,187.68,131.376,56.304,64,Fast Moving,30.0,Healthy
I269945,C310975,Male,64,Food & Beverage,1,5.23,Credit Card,14-02-2022,Kanyon,5.23,3.661,1.5690000000000004,101,Slow Moving,30.000000000000004,Healthy
I293115,C109758,Male,50,Clothing,2,600.16,Credit Card,20-05-2022,Viaport Outlet,1200.32,840.2239999999999,360.096,67,Fast Moving,30.000000000000004,Healthy
I180632,C214463,Male,45,Clothing,1,300.08,Credit Card,15-10-2021,Istinye Park,300.08,210.05599999999998,90.024,89,Slow Moving,30.000000000000004,Healthy
I946433,C387164,Female,29,Technology,4,4200.0,Debit Card,02-02-2023,Kanyon,16800.0,11760.0,5040.0,36,Fast Moving,30.0,Healthy
I557864,C135196,Female,33,Clothing,1,300.08,Cash,09-11-2021,Mall of Istanbul,300.08,210.05599999999998,90.024,91,Slow Moving,30.000000000000004,Healthy
I721903,C284031,Male,29,Food & Beverage,2,10.46,Cash,09-01-2023,Mall of Istanbul,20.92,14.644,6.276000000000002,37,Fast Moving,30.000000000000004,Healthy
I995914,C259260,Male,65,Technology,3,3150.0,Credit Card,22-11-2021,Metrocity,9450.0,6615.0,2835.0,71,Fast Moving,30.0,Healthy
I423124,C109593,Female,66,Clothing,1,300.08,Cash,07-01-2023,Metrocity,300.08,210.05599999999998,90.024,22,Fast Moving,30.000000000000004,Healthy
I318626,C270238,Male,54,Cosmetics,3,121.98,Credit Card,23-09-2022,Istinye Park,365.94,256.15799999999996,109.78200000000004,29,Fast Moving,30.00000000000001,Healthy
I284431,C308978,Male,44,Technology,4,4200.0,Credit Card,24-06-2022,Metropol AVM,16800.0,11760.0,5040.0,110,Slow Moving,30.0,Healthy
I334469,C221607,Male,46,Toys,5,179.2,Cash,04-07-2021,Kanyon,896.0,627.1999999999999,268.80000000000007,99,Slow Moving,30.00000000000001,Healthy
I568785,C115148,Male,37,Food & Beverage,5,26.15,Cash,23-08-2021,Metropol AVM,130.75,91.52499999999999,39.22500000000001,58,Fast Moving,30.000000000000004,Healthy
I307376,C253248,Female,22,Food & Beverage,5,26.15,Credit Card,11-08-2022,Metrocity,130.75,91.52499999999999,39.22500000000001,62,Fast Moving,30.000000000000004,Healthy
I136509,C290760,Female,55,Cosmetics,4,162.64,Cash,02-08-2021,Mall of Istanbul,650.56,455.39199999999994,195.168,71,Fast Moving,30.000000000000004,Healthy
I194798,C258089,Male,41,Technology,2,2100.0,Cash,07-07-2022,Mall of Istanbul,4200.0,2940.0,1260.0,108,Slow Moving,30.0,Healthy
I236520,C222102,Male,42,Toys,3,107.52,Credit Card,13-02-2022,Viaport Outlet,322.56,225.79199999999997,96.76800000000003,50,Fast Moving,30.00000000000001,Healthy
I295482,C209440,Male,24,Shoes,3,1800.51,Credit Card,17-10-2022,Zorlu Center,5401.53,3781.0709999999995,1620.4590000000003,28,Fast Moving,30.000000000000004,Healthy
I472275,C203263,Female,43,Cosmetics,4,162.64,Cash,14-11-2022,Metrocity,650.56,455.39199999999994,195.168,118,Slow Moving,30.000000000000004,Healthy
I301404,C232103,Male,40,Clothing,3,900.24,Credit Card,24-03-2021,Cevahir AVM,2700.7200000000003,1890.5040000000001,810.2160000000001,36,Fast Moving,30.000000000000004,Healthy
I100487,C213360,Female,22,Cosmetics,4,162.64,Cash,19-02-2021,Kanyon,650.56,455.39199999999994,195.168,51,Fast Moving,30.000000000000004,Healthy
I206026,C225105,Female,27,Books,1,15.15,Cash,12-11-2022,Forum Istanbul,15.15,10.605,4.545,90,Slow Moving,30.0,Healthy
I332620,C158124,Female,68,Cosmetics,2,81.32,Credit Card,13-04-2021,Mall of Istanbul,162.64,113.84799999999998,48.792,27,Fast Moving,30.000000000000004,Healthy
I434161,C246484,Female,48,Clothing,2,600.16,Credit Card,03-05-2021,Metropol AVM,1200.32,840.2239999999999,360.096,70,Fast Moving,30.000000000000004,Healthy
I166306,C197019,Female,56,Clothing,3,900.24,Cash,24-04-2022,Viaport Outlet,2700.7200000000003,1890.5040000000001,810.2160000000001,31,Fast Moving,30.000000000000004,Healthy
I207389,C947114,Male,25,Clothing,3,900.24,Debit Card,17-12-2022,Kanyon,2700.7200000000003,1890.5040000000001,810.2160000000001,110,Slow Moving,30.000000000000004,Healthy
I237018,C115431,Male,30,Food & Beverage,4,20.92,Cash,19-11-2022,Mall of Istanbul,83.68,58.576,25.104000000000006,6,Fast Moving,30.000000000000004,Healthy
I246114,C266394,Female,49,Toys,5,179.2,Credit Card,22-09-2022,Metropol AVM,896.0,627.1999999999999,268.80000000000007,94,Slow Moving,30.00000000000001,Healthy
I216889,C122371,Male,57,Clothing,2,600.16,Credit Card,16-03-2022,Mall of Istanbul,1200.32,840.2239999999999,360.096,21,Fast Moving,30.000000000000004,Healthy
I137065,C736428,Female,46,Food & Beverage,4,20.92,Cash,01-01-2022,Mall of Istanbul,83.68,58.576,25.104000000000006,108,Slow Moving,30.000000000000004,Healthy
I284262,C127339,Male,29,Food & Beverage,3,15.69,Cash,23-07-2021,Kanyon,47.07,32.949,14.121000000000002,37,Fast Moving,30.000000000000004,Healthy
I154122,C164662,Female,69,Cosmetics,1,40.66,Debit Card,22-12-2021,Metrocity,40.66,28.461999999999996,12.198,13,Fast Moving,30.000000000000004,Healthy
I950429,C248884,Female,42,Cosmetics,2,81.32,Debit Card,09-03-2022,Kanyon,162.64,113.84799999999998,48.792,47,Fast Moving,30.000000000000004,Healthy
I499170,C100684,Female,38,Toys,1,35.84,Credit Card,20-02-2022,Kanyon,35.84,25.088,10.752000000000002,52,Fast Moving,30.000000000000004,Healthy
I253083,C240688,Female,46,Clothing,2,600.16,Debit Card,14-11-2021,Metrocity,1200.32,840.2239999999999,360.096,43,Fast Moving,30.000000000000004,Healthy
I508173,C246364,Male,31,Cosmetics,3,121.98,Debit Card,23-01-2022,Metropol AVM,365.94,256.15799999999996,109.78200000000004,97,Slow Moving,30.00000000000001,Healthy
I763131,C195413,Male,26,Clothing,5,1500.4,Cash,16-01-2021,Mall of Istanbul,7502.0,5251.4,2250.6000000000004,46,Fast Moving,30.000000000000004,Healthy
I149766,C197308,Female,48,Cosmetics,3,121.98,Cash,02-04-2022,Mall of Istanbul,365.94,256.15799999999996,109.78200000000004,30,Fast Moving,30.00000000000001,Healthy
I702817,C264767,Male,30,Books,5,75.75,Credit Card,16-10-2022,Kanyon,378.75,265.125,113.625,103,Slow Moving,30.0,Healthy
I208491,C299172,Male,56,Clothing,1,300.08,Cash,18-01-2023,Kanyon,300.08,210.05599999999998,90.024,54,Fast Moving,30.000000000000004,Healthy
I337030,C994327,Male,65,Food & Beverage,2,10.46,Cash,27-09-2022,Metrocity,20.92,14.644,6.276000000000002,29,Fast Moving,30.000000000000004,Healthy
I312041,C337644,Female,53,Clothing,2,600.16,Credit Card,31-01-2022,Mall of Istanbul,1200.32,840.2239999999999,360.096,28,Fast Moving,30.000000000000004,Healthy
I150629,C175449,Female,43,Clothing,3,900.24,Cash,10-12-2022,Kanyon,2700.7200000000003,1890.5040000000001,810.2160000000001,17,Fast Moving,30.000000000000004,Healthy
I197620,C249092,Male,26,Food & Beverage,2,10.46,Cash,08-04-2022,Metrocity,20.92,14.644,6.276000000000002,64,Fast Moving,30.000000000000004,Healthy
I730771,C432132,Male,23,Clothing,5,1500.4,Debit Card,05-08-2022,Metrocity,7502.0,5251.4,2250.6000000000004,11,Fast Moving,30.000000000000004,Healthy
I873382,C289802,Female,54,Shoes,4,2400.68,Credit Card,07-01-2023,Metrocity,9602.72,6721.9039999999995,2880.816,61,Fast Moving,30.0,Healthy
I637675,C194330,Male,56,Clothing,4,1200.32,Cash,28-06-2021,Kanyon,4801.28,3360.8959999999997,1440.384,40,Fast Moving,30.000000000000004,Healthy
I153278,C127945,Female,37,Toys,2,71.68,Cash,04-06-2022,Mall of Istanbul,143.36,100.352,43.00800000000001,49,Fast Moving,30.000000000000004,Healthy
I842493,C202057,Male,48,Clothing,3,900.24,Debit Card,25-07-2021,Mall of Istanbul,2700.7200000000003,1890.5040000000001,810.2160000000001,24,Fast Moving,30.000000000000004,Healthy
I156991,C315209,Male,56,Food & Beverage,2,10.46,Debit Card,14-02-2021,Emaar Square Mall,20.92,14.644,6.276000000000002,69,Fast Moving,30.000000000000004,Healthy
I722730,C323605,Female,58,Souvenir,2,23.46,Cash,28-07-2022,Kanyon,46.92,32.844,14.076,12,Fast Moving,30.0,Healthy
I299533,C282395,Female,40,Food & Beverage,3,15.69,Credit Card,09-09-2022,Kanyon,47.07,32.949,14.121000000000002,114,Slow Moving,30.000000000000004,Healthy
I187160,C109491,Female,38,Shoes,5,3000.85,Debit Card,19-03-2022,Kanyon,15004.25,10502.974999999999,4501.2750000000015,20,Fast Moving,30.00000000000001,Healthy
I101832,C261194,Female,40,Cosmetics,3,121.98,Credit Card,25-12-2022,Kanyon,365.94,256.15799999999996,109.78200000000004,18,Fast Moving,30.00000000000001,Healthy
I943403,C232330,Male,64,Toys,1,35.84,Cash,20-09-2022,Mall of Istanbul,35.84,25.088,10.752000000000002,80,Slow Moving,30.000000000000004,Healthy
I454983,C737782,Male,28,Souvenir,5,58.65,Debit Card,12-04-2022,Mall of Istanbul,293.25,205.27499999999998,87.97500000000002,119,Slow Moving,30.00000000000001,Healthy
I338302,C123201,Male,49,Cosmetics,4,162.64,Debit Card,03-10-2021,Viaport Outlet,650.56,455.39199999999994,195.168,91,Slow Moving,30.000000000000004,Healthy
I328822,C230641,Male,51,Food & Beverage,3,15.69,Cash,13-06-2022,Metrocity,47.07,32.949,14.121000000000002,19,Fast Moving,30.000000000000004,Healthy
I168181,C805154,Male,22,Clothing,3,900.24,Credit Card,01-07-2021,Metrocity,2700.7200000000003,1890.5040000000001,810.2160000000001,96,Slow Moving,30.000000000000004,Healthy
I108543,C330021,Female,67,Clothing,5,1500.4,Debit Card,08-07-2022,Viaport Outlet,7502.0,5251.4,2250.6000000000004,102,Slow Moving,30.000000000000004,Healthy
I120615,C107668,Female,22,Toys,2,71.68,Credit Card,02-02-2022,Istinye Park,143.36,100.352,43.00800000000001,70,Fast Moving,30.000000000000004,Healthy
I248840,C209722,Female,26,Clothing,3,900.24,Cash,10-11-2022,Mall of Istanbul,2700.7200000000003,1890.5040000000001,810.2160000000001,36,Fast Moving,30.000000000000004,Healthy
I283774,C210614,Female,42,Toys,1,35.84,Debit Card,01-01-2023,Istinye Park,35.84,25.088,10.752000000000002,91,Slow Moving,30.000000000000004,Healthy
I212305,C212378,Female,45,Books,1,15.15,Credit Card,06-11-2021,Emaar Square Mall,15.15,10.605,4.545,67,Fast Moving,30.0,Healthy
I111228,C313586,Female,43,Clothing,1,300.08,Credit Card,09-04-2021,Kanyon,300.08,210.05599999999998,90.024,90,Slow Moving,30.000000000000004,Healthy
I230558,C292604,Female,35,Cosmetics,2,81.32,Debit Card,31-07-2021,Kanyon,162.64,113.84799999999998,48.792,55,Fast Moving,30.000000000000004,Healthy
I130124,C216257,Male,49,Clothing,3,900.24,Credit Card,15-08-2022,Viaport Outlet,2700.7200000000003,1890.5040000000001,810.2160000000001,29,Fast Moving,30.000000000000004,Healthy
I221797,C272779,Female,49,Food & Beverage,3,15.69,Cash,24-08-2021,Metrocity,47.07,32.949,14.121000000000002,62,Fast Moving,30.000000000000004,Healthy
I154490,C100507,Male,33,Clothing,5,1500.4,Cash,24-01-2022,Mall of Istanbul,7502.0,5251.4,2250.6000000000004,67,Fast Moving,30.000000000000004,Healthy
I159376,C190072,Female,65,Food & Beverage,2,10.46,Cash,14-06-2022,Metropol AVM,20.92,14.644,6.276000000000002,66,Fast Moving,30.000000000000004,Healthy
I214545,C111827,Male,40,Souvenir,4,46.92,Cash,05-12-2021,Metropol AVM,187.68,131.376,56.304,26,Fast Moving,30.0,Healthy
I213589,C203955,Male,68,Technology,2,2100.0,Cash,12-10-2021,Viaport Outlet,4200.0,2940.0,1260.0,62,Fast Moving,30.0,Healthy
I101148,C680169,Female,26,Cosmetics,4,162.64,Cash,21-04-2022,Cevahir AVM,650.56,455.39199999999994,195.168,62,Fast Moving,30.000000000000004,Healthy
I186663,C281091,Male,38,Toys,1,35.84,Debit Card,24-06-2021,Kanyon,35.84,25.088,10.752000000000002,90,Slow Moving,30.000000000000004,Healthy
I291062,C209122,Female,56,Cosmetics,4,162.64,Credit Card,05-03-2023,Kanyon,650.56,455.39199999999994,195.168,53,Fast Moving,30.000000000000004,Healthy
I103389,C231964,Male,19,Cosmetics,1,40.66,Cash,09-05-2021,Kanyon,40.66,28.461999999999996,12.198,56,Fast Moving,30.000000000000004,Healthy
I140596,C291641,Female,18,Cosmetics,2,81.32,Cash,11-09-2021,Metrocity,162.64,113.84799999999998,48.792,46,Fast Moving,30.000000000000004,Healthy
I115322,C315386,Male,55,Food & Beverage,1,5.23,Credit Card,01-10-2021,Forum Istanbul,5.23,3.661,1.5690000000000004,74,Fast Moving,30.000000000000004,Healthy
I273800,C290158,Female,53,Cosmetics,2,81.32,Cash,01-08-2021,Mall of Istanbul,162.64,113.84799999999998,48.792,19,Fast Moving,30.000000000000004,Healthy
I384332,C226218,Female,69,Cosmetics,1,40.66,Cash,04-09-2021,Metrocity,40.66,28.461999999999996,12.198,58,Fast Moving,30.000000000000004,Healthy
I268628,C633946,Male,27,Cosmetics,3,121.98,Cash,21-05-2021,Mall of Istanbul,365.94,256.15799999999996,109.78200000000004,111,Slow Moving,30.00000000000001,Healthy
I146305,C118742,Female,36,Food & Beverage,2,10.46,Cash,11-07-2022,Kanyon,20.92,14.644,6.276000000000002,64,Fast Moving,30.000000000000004,Healthy
I648743,C218295,Female,61,Shoes,5,3000.85,Debit Card,02-01-2023,Mall of Istanbul,15004.25,10502.974999999999,4501.2750000000015,105,Slow Moving,30.00000000000001,Healthy
I148083,C636874,Female,43,Cosmetics,5,203.3,Credit Card,29-06-2021,Istinye Park,1016.5,711.55,304.95000000000005,101,Slow Moving,30.000000000000004,Healthy
I733806,C310472,Female,51,Food & Beverage,4,20.92,Credit Card,21-03-2021,Metropol AVM,83.68,58.576,25.104000000000006,12,Fast Moving,30.000000000000004,Healthy
I214007,C119440,Male,38,Toys,4,143.36,Credit Card,25-03-2022,Metrocity,573.44,401.408,172.03200000000004,57,Fast Moving,30.000000000000004,Healthy
I480974,C230305,Male,34,Food & Beverage,2,10.46,Debit Card,10-05-2021,Mall of Istanbul,20.92,14.644,6.276000000000002,64,Fast Moving,30.000000000000004,Healthy
I126095,C197131,Male,23,Food & Beverage,5,26.15,Credit Card,24-03-2022,Metropol AVM,130.75,91.52499999999999,39.22500000000001,112,Slow Moving,30.000000000000004,Healthy
I100033,C278721,Male,56,Food & Beverage,4,20.92,Credit Card,19-10-2021,Zorlu Center,83.68,58.576,25.104000000000006,112,Slow Moving,30.000000000000004,Healthy
I265860,C247868,Male,60,Food & Beverage,4,20.92,Credit Card,15-03-2022,Mall of Istanbul,83.68,58.576,25.104000000000006,9,Fast Moving,30.000000000000004,Healthy
I512570,C834257,Female,59,Souvenir,4,46.92,Cash,24-11-2022,Metrocity,187.68,131.376,56.304,107,Slow Moving,30.0,Healthy
I118757,C242041,Male,43,Clothing,1,300.08,Credit Card,21-07-2022,Kanyon,300.08,210.05599999999998,90.024,72,Fast Moving,30.000000000000004,Healthy
I313516,C892871,Male,55,Books,4,60.6,Cash,29-03-2021,Metrocity,242.4,169.68,72.72,10,Fast Moving,30.0,Healthy
I223795,C280596,Male,40,Clothing,3,900.24,Cash,26-12-2022,Metrocity,2700.7200000000003,1890.5040000000001,810.2160000000001,113,Slow Moving,30.000000000000004,Healthy
I254341,C703073,Female,43,Food & Beverage,2,10.46,Credit Card,21-01-2023,Metropol AVM,20.92,14.644,6.276000000000002,100,Slow Moving,30.000000000000004,Healthy
I273435,C282097,Male,59,Food & Beverage,4,20.92,Credit Card,06-11-2021,Emaar Square Mall,83.68,58.576,25.104000000000006,98,Slow Moving,30.000000000000004,Healthy
I127616,C179726,Male,24,Books,5,75.75,Debit Card,12-12-2021,Kanyon,378.75,265.125,113.625,51,Fast Moving,30.0,Healthy
I893043,C838282,Female,63,Clothing,5,1500.4,Credit Card,11-11-2022,Kanyon,7502.0,5251.4,2250.6000000000004,103,Slow Moving,30.000000000000004,Healthy
I295712,C181939,Male,31,Food & Beverage,2,10.46,Cash,25-06-2022,Mall of Istanbul,20.92,14.644,6.276000000000002,59,Fast Moving,30.000000000000004,Healthy
I162565,C755148,Female,69,Clothing,2,600.16,Credit Card,04-07-2022,Istinye Park,1200.32,840.2239999999999,360.096,44,Fast Moving,30.000000000000004,Healthy
I300520,C282107,Female,36,Books,3,45.45,Credit Card,02-02-2023,Metrocity,136.35000000000002,95.44500000000001,40.905000000000015,56,Fast Moving,30.000000000000004,Healthy
I149473,C102560,Female,54,Clothing,3,900.24,Cash,30-01-2021,Kanyon,2700.7200000000003,1890.5040000000001,810.2160000000001,20,Fast Moving,30.000000000000004,Healthy
I936118,C229670,Male,22,Food & Beverage,3,15.69,Cash,19-02-2023,Istinye Park,47.07,32.949,14.121000000000002,17,Fast Moving,30.000000000000004,Healthy
I242648,C269986,Male,39,Food & Beverage,1,5.23,Cash,22-06-2022,Metrocity,5.23,3.661,1.5690000000000004,118,Slow Moving,30.000000000000004,Healthy
I725938,C191300,Male,26,Cosmetics,3,121.98,Debit Card,16-10-2022,Metropol AVM,365.94,256.15799999999996,109.78200000000004,110,Slow Moving,30.00000000000001,Healthy
I299480,C167158,Male,44,Shoes,2,1200.34,Credit Card,09-12-2022,Metrocity,2400.68,1680.4759999999999,720.204,34,Fast Moving,30.0,Healthy
I134272,C318225,Female,35,Toys,1,35.84,Debit Card,01-12-2022,Metropol AVM,35.84,25.088,10.752000000000002,23,Fast Moving,30.000000000000004,Healthy
I128518,C101108,Female,66,Shoes,1,600.17,Debit Card,06-09-2021,Mall of Istanbul,600.17,420.11899999999997,180.051,21,Fast Moving,30.0,Healthy
I293208,C103073,Male,61,Shoes,1,600.17,Cash,07-02-2022,Mall of Istanbul,600.17,420.11899999999997,180.051,67,Fast Moving,30.0,Healthy
I332003,C299787,Female,30,Cosmetics,2,81.32,Credit Card,16-12-2021,Cevahir AVM,162.64,113.84799999999998,48.792,23,Fast Moving,30.000000000000004,Healthy
I251779,C555827,Male,55,Toys,5,179.2,Debit Card,12-03-2022,Zorlu Center,896.0,627.1999999999999,268.80000000000007,96,Slow Moving,30.00000000000001,Healthy
